user_id,event_ts,event_type
u00000,2025-09-02T10:00:00Z,signup
u00000,2025-09-02T12:00:00Z,signup
u00016,2025-09-02T12:52:00Z,signup
u00008,2025-09-02T12:56:00Z,signup
u00009,2025-09-02T13:03:00Z,signup
u00001,2025-09-02T13:07:00Z,signup
u00017,2025-09-02T13:59:00Z,signup
u00018,2025-09-02T14:06:00Z,signup
u00010,2025-09-02T14:10:00Z,signup
u00002,2025-09-02T14:14:00Z,signup
u00019,2025-09-02T15:13:00Z,signup
u00011,2025-09-02T15:17:00Z,signup
u00003,2025-09-02T15:21:00Z,signup
u00012,2025-09-02T16:24:00Z,signup
u00004,2025-09-02T16:28:00Z,signup
u00013,2025-09-02T17:31:00Z,signup
u00005,2025-09-02T17:35:00Z,signup
u00014,2025-09-02T18:38:00Z,signup
u00006,2025-09-02T18:42:00Z,signup
u00015,2025-09-02T19:45:00Z,signup
u00007,2025-09-02T19:49:00Z,signup
u00000,2025-09-03T13:00:00Z,activity
u00018,2025-09-03T13:54:00Z,activity
u00009,2025-09-03T13:57:00Z,activity
u00019,2025-09-03T14:07:00Z,activity
u00010,2025-09-03T14:10:00Z,activity
u00001,2025-09-03T14:13:00Z,activity
u00011,2025-09-03T15:23:00Z,activity
u00002,2025-09-03T15:26:00Z,activity
u00012,2025-09-03T16:36:00Z,activity
u00003,2025-09-03T16:39:00Z,activity
u00013,2025-09-03T17:49:00Z,activity
u00004,2025-09-03T17:52:00Z,activity
u00014,2025-09-03T18:02:00Z,activity
u00005,2025-09-03T18:05:00Z,activity
u00015,2025-09-03T19:15:00Z,activity
u00006,2025-09-03T19:18:00Z,activity
u00016,2025-09-03T20:28:00Z,activity
u00007,2025-09-03T20:31:00Z,activity
u00017,2025-09-03T21:41:00Z,activity
u00008,2025-09-03T21:44:00Z,activity
u00000,2025-09-04T15:05:00Z,page_view
u00000,2025-09-05T16:05:00Z,logout
u00000,2025-09-10T13:00:00Z,activity
u00009,2025-09-10T13:57:00Z,activity
ghost00,2025-09-10T14:00:00Z,activity
